" Timestamp","Timestamp formattato","Nome PC","Sistema operativo","Utente","Messaggio"
1715643237187,14-05-2024 01:33:57,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715643241088,14-05-2024 01:34:01,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715643404363,14-05-2024 01:36:44,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,NERO non ha piu' pedine, Rosso ha vinto la partita di Dama
1715644363564,14-05-2024 01:52:43,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715647087124,14-05-2024 02:38:07,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715647091726,14-05-2024 02:38:11,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,BIANCO si ritira. NERO vince la partita di Scacchi
1715647170745,14-05-2024 02:39:30,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715647179182,14-05-2024 02:39:39,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,BIANCO si ritira. NERO vince la partita di Scacchi
1715647195983,14-05-2024 02:39:55,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715647197966,14-05-2024 02:39:57,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,BIANCO si ritira. NERO vince la partita di Scacchi
1715648541603,14-05-2024 03:02:21,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1715648543489,14-05-2024 03:02:23,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715649031430,14-05-2024 03:10:31,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1715649136382,14-05-2024 03:12:16,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1715649197769,14-05-2024 03:13:17,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1717030761773,30-05-2024 02:59:21,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1717032674138,30-05-2024 03:31:14,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,NERO si ritira. ROSSO vince la partita di Dama
1717032674907,30-05-2024 03:31:14,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1717032679710,30-05-2024 03:31:19,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1717032708606,30-05-2024 03:31:48,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,BIANCO si ritira. NERO vince la partita di Scacchi
1717106359234,30-05-2024 23:59:19,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1717107686484,31-05-2024 00:21:26,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1717107815652,31-05-2024 00:23:35,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO non ha piu' pedine.  NERO vince la partita di Dama
1717107832141,31-05-2024 00:23:52,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1717107833787,31-05-2024 00:23:53,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,ROSSO si ritira. NERO vince la partita di Dama
1717107835643,31-05-2024 00:23:55,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Dama cominciata
1717107839740,31-05-2024 00:23:59,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,NERO si ritira. ROSSO vince la partita di Dama
1717107901092,31-05-2024 00:25:01,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,Partita a Scacchi cominciata
1717108170260,31-05-2024 00:29:30,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,BIANCO si ritira. NERO vince la partita di Scacchi
1717108173867,31-05-2024 00:29:33,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,BIANCO si ritira. NERO vince la partita di Scacchi
1717108180796,31-05-2024 00:29:40,LAPTOP-B6BG59IT,Windows 10 10.0,rubyf,NERO si ritira. BIANCO vince la partita di Scacchi
